time	V(in)	V(vt1)	V(vt2)	I(D2)
9.059757142904519e-004	5.017974e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.095571428618813e-004	5.022998e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.131385714333105e-004	5.025633e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.167200000047397e-004	5.025880e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.199728571475975e-004	5.013349e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.232257142904552e-004	5.002379e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.264785714333130e-004	4.992969e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.297314285761707e-004	4.985119e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.329842857190285e-004	4.978830e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.362371428618863e-004	4.974101e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.394900000047440e-004	4.970933e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.397200000047440e-004	4.971160e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.435314285761733e-004	4.984925e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.473428571476027e-004	4.996736e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.511542857190319e-004	5.006592e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.549657142904612e-004	5.014493e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.587771428618906e-004	5.020440e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.625885714333198e-004	5.024432e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.664000000047491e-004	5.026469e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.700142857190344e-004	5.011934e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.736285714333199e-004	4.999749e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.772428571476052e-004	4.989915e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.808571428618906e-004	4.982431e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.844714285761761e-004	4.977298e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.880857142904613e-004	4.974515e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.917000000047467e-004	4.974082e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.000000000000000e-003	5.000000e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.002250142869749e-003	5.009405e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.004500285739497e-003	5.016986e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.006750428609246e-003	5.022744e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.009000571478995e-003	5.026677e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.011250714348743e-003	5.028786e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.013500857218492e-003	5.029070e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.015751000088241e-003	5.027531e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.015981000088241e-003	5.027175e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.016045731506891e-003	5.027071e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.016073210472634e-003	5.027026e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.019700761794402e-003	5.012763e+000	5.299374e+000	4.800185e+000	1.774149e-015
1.023328313116171e-003	5.000712e+000	5.299374e+000	4.800185e+000	1.774154e-015
1.026955864437939e-003	4.990875e+000	5.299374e+000	4.800185e+000	1.774165e-015
1.030583415759707e-003	4.983249e+000	5.299374e+000	4.800185e+000	1.774183e-015
1.034210967081476e-003	4.977837e+000	5.299374e+000	4.800185e+000	1.774207e-015
1.037838518403244e-003	4.974637e+000	5.299374e+000	4.800185e+000	1.774237e-015
1.041466069725012e-003	4.973650e+000	5.299374e+000	4.800185e+000	1.774273e-015
1.045047498296440e-003	4.988039e+000	5.299374e+000	4.800185e+000	1.774314e-015
1.048628926867867e-003	5.000136e+000	5.299374e+000	4.800185e+000	1.774378e-015
